PressureSensor 0,PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
832,1152,1338,756,1670,1359,1384,779,607,898,599,192,48,20,20,20,1608,1350,1597,2389,1778,2003,2126,2705,595,323,291,192,44,282,20,20,-1242,2260,8416,-593,109,-161,98.98494671862606,346.4090595578853,28997
848,1135,1328,793,1702,1401,1441,813,658,928,623,239,76,20,20,20,1516,1314,1566,2313,1696,1952,2072,2665,629,335,308,196,64,294,20,20,-1288,2241,8519,-51,217,-135,99.3048439924151,341.6544388898466,29005
876,1135,1326,836,1741,1450,1489,856,688,962,645,264,98,20,20,20,1429,1281,1537,2242,1612,1882,2014,2608,654,335,316,193,73,318,20,20,-1198,2403,8281,231,391,-124,99.79442334254144,337.3182147790056,28960
898,1134,1331,876,1806,1515,1565,919,726,1006,670,291,110,20,20,21,1316,1230,1484,2161,1496,1787,1929,2515,696,341,326,199,78,322,20,20,-1072,2443,8071,237,579,-166,100.50707645344804,331.7191619259054,28828
904,1123,1326,907,1909,1596,1635,995,784,1053,709,348,134,20,20,21,1184,1170,1422,2044,1338,1664,1825,2397,750,355,344,206,89,352,20,21,-1176,2436,8051,108,649,-200,101.2551369265655,323.9239665096808,28665
902,1100,1317,960,2011,1681,1734,1114,878,1107,758,406,156,36,20,21,1028,1108,1342,1904,1172,1497,1708,2251,805,381,374,213,105,398,20,21,-1176,2436,8051,108,649,-200,102.157599551318,314.1593171620864,28528
869,1077,1297,1017,2125,1766,1830,1219,974,1182,805,455,194,59,21,21,885,1029,1277,1749,1004,1324,1568,2098,874,405,410,244,110,467,20,21,-1178,2450,8010,-21,656,-233,102.93312438371602,303.5889561910128,28396
845,1053,1256,1063,2191,1855,1933,1336,1079,1252,860,519,268,62,21,21,707,940,1222,1608,844,1164,1429,1931,955,434,449,263,139,497,20,21,-1312,2349,8016,-72,579,-281,103.66471296525836,292.53984134291886,28237
822,1026,1214,1113,2262,1936,2030,1451,1147,1324,911,565,334,81,21,21,574,873,1170,1472,695,1023,1313,1782,1020,451,480,291,150,534,20,22,-1243,2408,7946,-111,465,-315,104.36511660978384,282.70723122866895,28128
804,989,1178,1179,2323,2000,2141,1563,1231,1395,967,621,387,81,21,21,432,808,1118,1305,589,900,1169,1641,1106,493,505,315,149,580,20,22,-1355,2297,8038,-145,453,-336,104.93567532884184,272.9588635796528,28053
